,Listed Count,Location,Name,Retweet at,Time,Time Zone,Tweet
2090,60,"""Chicago, IL","""WaterCoolerCon_""",null,01:45:52,"""Pacific Time (US & Canada)""","['RT', 'kenyafairley', 'This', 'dad', 'is', 'creepy', 'af', 'TheLeftovers']"
2091,19,"""Miracle, Texas","""LeftoversDaily""",null,01:45:53,null,"['We', 'all', 'miss', 'the', 'Frost', 'twins', 'I', 'hope', 'Adam', 'and', 'Scott', 'are', 'keeping', 'Mapleton', 'safe', 'https', 't', 'co', 'yP69moiPuV']"
2092,5,"""East End Pittsburgh, Slip Rock","""lex_Caul""",null,01:45:54,"""Eastern Time (US & Canada)""","['Casually', 'killed', 'a', 'goat', 'in', 'a', 'dinner', 'who', 'would', 't', 'want', 'to', 'live', 'in', 'Miracle', 'Texas', 'TheLeftovers']"
2093,30,"""Nyack, NY","""shannonmhouston""",null,01:45:54,"""Eastern Time (US & Canada)""","['Omg', 'Enrique', 'has', 'to', 'clean', 'up', 'the', 'damn', 'ritual', 'animal', 'sacrifice', 'That', 'ain', 't', 'right', 'TheLeftovers']"
2094,16,"""Foggy Overcast Bay Area, CA","""JohnnyCables""",null,01:45:55,"""Alaska""","['TheLeftovers', 'Perfect', 'Strangers', 'reference', 'Omg', 'Lmaooooo']"
2095,53,"""Jackson, MS & Detroit, MI","""Soulrific""",null,01:45:58,"""Central Time (US & Canada)""","['Wait', 'is', 'Regina', 'deaf', 'TheLeftovers']"
2096,66,"""MATRIS cars manda abi jas meg","""sterekwolfz""",null,01:45:59,"""Belgrade""","['RT', 'Variety', 'TheLeftovers', 'creators', 'talk', 'challenging', 'the', 'audience', 'in', 'season', '2', 'premiering', 'tonight', 'http', 't', 'co', 'NsjXmhE8gL', 'http', 't', 'co', 'm38Qgm\xe2']"
2097,0,nul,"""jalishatoy""",null,01:45:59,"""Central Time (US & Canada)""","['R', 'I', 'P', 'Goat', 'TheLeftovers']"
2098,0,"""on my couch ","""PaulxAde""",null,01:46:02,"""Eastern Time (US & Canada)""","['Was', 'that', 'a', 'sheep', 'sacrifice', 'TheLeftovers', 'do', 'they', 'worship', 'idols', 'in', 'that', 'town']"
2099,2,"""van buren ark.","""angeleyes2123""",null,01:46:04,"""Eastern Time (US & Canada)""","['RT', 'maxcarver', 'Can', 't', 'wait', 'to', 'get', 'home', 'so', 'I', 'can', 'watch', 'TheLeftovers', 'on', 'hbo', 'Miracle', 'FrostTwins4Lyfe']"
2100,6,"""Houston","""HailToTheK""",null,01:46:07,"""Central Time (US & Canada)""","['They', 'just', 'slaughtered', 'a', 'goat', 'in', 'the', 'middle', 'of', 'the', 'restaurant', 'Miracle', 'is', 'a', 'very', 'strange', 'town', 'TheLeftovers']"
2101,21,"""Houston, TX ","""kmcorder""",null,01:46:08,"""Central Time (US & Canada)""","['EDDIE', 'FREAKING', 'WINSLOW', 'TheLeftovers']"
2102,12,"""ioooooowa","""leirariel450""",null,01:46:08,"""Central Time (US & Canada)""","['NO', 'STOP', 'TheLeftovers']"
2103,6,"""Pittsburgh, PA","""jcolem47""",null,01:46:12,null,"['What', 'just', 'happen', 'Slicing', 'goat', 'throats', 'at', 'breakfast', 'TheLeftovers']"
2104,8,"""Godric's Hollow","""Helectras""",null,01:46:13,"""Greenland""","['RT', 'TheLeftoversHBO', 'WelcomeToMiracle', 'n', 'n', 'TheLeftovers', 'begins', 'now', 'on', 'HBO', 'http', 't', 'co', 'J4P1Rqtzlc']"
2105,5,"""Houston,Texas","""alisonlwisdom""",null,01:46:13,null,"['Oh', 'Well', 'it', 's', 'not', 'really', 'an', 'episode', 'of', 'TheLeftovers', 'until', 'an', 'animal', 'dies', 'Don', 't', 'know', 'what', 'else', 'I', 'was', 'expecting']"
2106,1,nul,"""prettysmartertu""",null,01:46:13,"""Central Time (US & Canada)""","['RT', 'Anocksoonamoon', 'Lol', 'the', 'iPhone', 'picture', 'TheLeftovers']"
2107,9,"""Wisconsin","""BadgrGrl21""",null,01:46:14,null,"['RT', 'RealSteeleCity', 'You', 'know', 'your', 'town', 'is', 'screwed', 'up', 'when', 'a', 'spontaneous', 'ritual', 'goat', 'sacrifice', 'in', 'the', 'middle', 'of', 'a', 'diner', 'doesn', 't', 'faze', 'anybody\xe2']"
2108,23,"""California","""riikabob""",null,01:46:16,"""Pacific Time (US & Canada)""","['Alright', 'show', 'You', 'need', 'to', 'calm', 'down', 'right', 'now', 'TheLeftovers']"
2109,3,"""Boston","""EttaMay09""",null,01:46:16,null,"['John', 'is', 'a', 'control', 'freak', 'TheLeftovers']"
2110,0,nul,"""oxlesliexo""",null,01:46:16,null,"['RT', 'maxcarver', 'Can', 't', 'wait', 'to', 'get', 'home', 'so', 'I', 'can', 'watch', 'TheLeftovers', 'on', 'hbo', 'Miracle', 'FrostTwins4Lyfe']"
2111,0,nul,"""oxlesliexo""",null,01:46:17,null,"['RT', 'TheLeftoversHBO', 'WelcomeToMiracle', 'n', 'n', 'TheLeftovers', 'begins', 'now', 'on', 'HBO', 'http', 't', 'co', 'J4P1Rqtzlc']"
2112,1,nul,"""prettysmartertu""",null,01:46:18,"""Central Time (US & Canada)""","['RT', 'kenseysmom', 'What', 'the', 'hell', 'Jerry', 'TheLeftovers', '\xf0']"
2113,54,"""Somewhere shuffling the deck ","""Still_Birdy""",null,01:46:18,"""Eastern Time (US & Canada)""","['RT', '_Thundercleese', 'TheLeftovers', 'Man', 'walks', 'into', 'diner', 'during', 'Breakfast', 'with', 'a', 'goat', 'slits', 'goats', 'throat', 'then', 'bids', 'patrons', 'a', 'good', 'day', 'and', 'ta\xe2']"
2114,60,"""Chicago, IL","""WaterCoolerCon_""",null,01:46:19,"""Pacific Time (US & Canada)""","['This', 'show', 'bout', 'to', 'give', 'me', 'a', 'heart', 'attack', 'TheLeftovers']"
2115,12,"""NorCal","""Cinderellie247""","""TheLeftoversHBO""",01:46:20,"""Pacific Time (US & Canada)""","['TheLeftoversHBO', 'Pretty', 'sure', 'that', 'violated', 'a', 'few', 'health', 'codes', 'GoatGate', 'TheLeftovers']"
2116,12,"""ioooooowa","""leirariel450""",null,01:46:20,"""Central Time (US & Canada)""","['RT', 'IsntSheGreat', 'GODDAMMIT', 'JERRY', 'TheLeftovers', 'ParksandRec']"
2117,15,"""Calgary, Canada","""dja17""","""kcgwisdom""",01:46:21,"""Mountain Time (US & Canada)""","['kcgwisdom', 'you', 'gotta', 'watch', 'TheLeftovers']"
2118,2,"""PA","""brycebenic""",null,01:46:22,"""Eastern Time (US & Canada)""",['TheLeftovers']
2119,3,"""LA","""pqpstarks""",null,01:46:22,"""Brasilia""","['RT', 'ReginaMontandon', 'Como', 'eu', 'amo', 'essa', 'trilha', 'sonora', 'dessa', 's\xc3', 'rie', '\xe2', '\xef', 'TheLeftovers', 'http', 't', 'co', 'ryCiHOno4m']"
2120,8,"""Washington,DC ✈ NYC ✈️ Chicago","""jennac2012""",null,01:46:22,null,"['Check', 'Please', 'TheLeftovers']"
